,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
12,0.0001,0.65,0.12,0.64,1.82,0.5,0.0001,0.95,0.05,0.0001,0.83,0.0001,0.9,0.0001,1.4,0.0001,0.0001,0.43,1.77,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.13,0.0001,1.65,0.55,0.23,0.61,0.88,0.0001,0.0001,0.35,0.0001,0.11,0.11,0.0001,0.0001,0.62,0.0001,0.0001,0.7,0.0001,0.0001,1.45,1.81,0.05,0.0001,0.79,0.06,0.0001,0.0001,0.0001,0.0001,0.22,0.001,0.0001,0.0001,0.04,0.0001,0.0001,0.45,0.0001,0.0001,2.41,0.7,0.0001,0.0001,0.0001,3.82,0.96,0.0001,0.0001,1.38,0.3,0.0001,0.92,0.2,0.0001,0.0001,0.0001,0.0001,1.32,0.0001,0.0001,2.25,0.0001,0.15,0.0001,0.0001,0.14,0.06,0.54,0.12,0.96,0.0001,1.09,0.6,0.61,0.09,0.54,0.0001,0.07,0.38,0.69,0.05
13,0.13,0.98,0.0001,1.8,1.1,0.0001,0.0001,0.0001,0.0001,0.0001,0.34,0.0001,0.0001,0.0001,3.18,0.0001,1.44,1.01,1.6,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.02,0.51,0.0001,1.21,0.0001,1.21,0.0001,1.43,0.0001,0.0001,0.28,0.0001,0.0001,0.41,0.0001,0.0001,0.13,0.0001,0.0001,0.38,0.0001,0.0001,1.35,2.16,0.34,0.0001,0.27,0.61,0.35,0.18,0.0001,0.0001,0.7,0.0001,0.0001,0.0001,0.25,0.0001,0.0001,0.6,0.0001,0.0001,1.3,2.57,0.56,0.0001,0.0001,2.96,4.91,0.26,0.0001,0.0001,0.0001,0.15,1.3,1.44,0.0001,0.0001,0.0001,0.0001,0.6,0.05,0.31,0.88,2.31,0.22,0.0001,0.62,1.06,0.14,0.0001,0.35,0.5,0.0001,1.14,1.2,0.0001,0.0001,0.48,0.0001,1.68,0.58,0.0001,0.44
14,0.19,0.65,0.12,1.64,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.83,0.0001,0.0001,0.0001,4.4,0.0001,0.77,1.43,1.77,0.0001,0.0001,0.0001,0.0001,0.0001,0.76,0.59,2.13,0.0001,1.65,0.0001,1.23,0.0001,0.88,0.0001,0.0001,0.35,0.2,0.0001,0.11,0.0001,0.49,0.62,0.0001,0.0001,0.0001,0.0001,0.0001,0.45,0.81,0.05,0.99,0.0001,1.06,0.0001,0.54,0.0001,0.0001,1.22,0.001,0.0001,0.0001,0.0001,0.4,0.0001,0.0001,0.0001,0.0001,0.41,1.7,0.0001,0.0001,0.0001,2.82,8.96,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.2,0.0001,0.0001,0.0001,0.0001,1.32,0.0001,0.0001,1.25,2.44,0.15,0.0001,0.73,1.14,1.06,0.0001,0.12,0.0001,0.11,0.09,0.6,0.61,0.09,0.0001,0.0001,1.07,0.38,0.0001,0.05
15,0.13,0.98,0.0001,0.0001,0.0001,0.0001,0.92,0.0001,0.0001,0.0001,1.34,0.0001,0.0001,0.0001,3.18,0.0001,0.0001,1.01,0.6,0.0001,1.22,0.0001,0.12,0.0001,0.7,0.02,0.51,0.0001,1.21,0.0001,0.21,0.0001,0.43,0.0001,0.0001,0.28,0.83,0.0001,0.0001,0.25,0.0001,0.13,0.0001,1.54,0.0001,0.28,0.0001,0.35,0.0001,0.34,0.82,0.27,1.61,0.0001,1.18,0.0001,0.0001,0.7,0.0001,0.0001,0.0001,0.0001,1.96,0.0001,0.0001,0.0001,0.0001,1.3,1.57,0.0001,0.56,0.0001,2.96,6.91,0.26,0.0001,0.0001,0.0001,1.15,0.0001,0.44,0.0001,0.0001,0.0001,0.0001,0.6,0.0001,0.0001,0.0001,1.31,0.22,0.08,0.0001,1.06,0.14,0.0001,0.0001,0.5,0.0001,0.14,1.2,0.68,0.0001,0.0001,0.0001,1.68,0.58,0.5,0.44
16,0.19,0.65,0.12,0.0001,0.0001,0.0001,0.84,0.0001,0.0001,0.0001,0.0001,1.36,0.0001,0.0001,2.4,0.0001,0.0001,0.43,0.0001,0.0001,0.99,1.22,0.0001,0.0001,0.76,0.0001,1.13,0.0001,0.0001,0.55,0.23,0.0001,0.0001,0.25,0.0001,1.35,1.2,0.11,0.11,0.0001,0.0001,0.62,0.29,1.46,0.0001,0.0001,0.0001,0.0001,0.0001,0.05,0.99,0.0001,0.06,0.0001,0.54,0.0001,0.54,0.22,0.0001,0.0001,0.6,0.04,1.4,0.21,0.45,0.0001,0.0001,2.41,0.7,0.0001,0.18,0.0001,2.82,3.96,1.54,0.0001,0.38,0.0001,0.0001,0.0001,0.2,0.0001,0.0001,0.0001,0.0001,0.32,0.0001,0.0001,0.0001,0.0001,0.15,0.52,0.0001,1.14,0.06,0.0001,0.12,0.96,0.11,0.09,0.6,0.61,0.09,0.0001,0.0001,1.07,0.38,1.69,0.05
17,0.13,0.0001,0.47,0.0001,0.0001,0.55,0.92,0.0001,0.0001,0.32,0.0001,1.63,1.57,0.0001,2.18,0.0001,0.0001,0.0001,0.0001,0.0001,0.22,0.96,0.0001,0.0001,0.7,0.0001,0.51,0.0001,0.0001,0.24,0.21,0.0001,0.0001,1.04,0.0001,0.28,0.0001,0.0001,0.0001,0.25,0.0001,0.13,0.94,1.54,0.38,0.28,0.0001,0.0001,0.0001,0.34,0.0001,0.27,0.61,0.0001,0.0001,0.4,1.06,0.0001,0.0001,0.0001,0.0001,0.25,0.0001,1.87,0.6,0.08,0.84,1.3,0.57,0.0001,0.56,0.53,0.96,0.91,0.26,0.0001,0.83,0.0001,0.0001,0.0001,0.44,1.96,0.0001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,3.31,0.0001,1.08,0.0001,0.06,0.14,0.0001,1.35,0.5,0.0001,0.14,0.2,0.0001,0.0001,0.0001,0.0001,0.0001,0.58,2.5,0.44
18,0.19,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.36,0.9,0.71,0.0001,0.0001,0.77,0.43,0.0001,0.0001,0.0001,0.22,0.0001,0.0001,0.76,0.0001,0.13,0.0001,0.0001,0.55,0.23,0.61,0.0001,1.25,0.0001,0.35,0.2,0.11,0.11,0.4,0.0001,0.0001,1.29,0.46,0.7,0.0001,0.0001,0.0001,0.0001,0.05,0.0001,0.79,0.06,0.0001,0.0001,0.0001,2.54,0.0001,0.0001,0.0001,0.6,1.04,0.0001,1.21,0.45,0.0001,0.0001,0.41,0.7,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.38,1.3,0.0001,0.0001,1.2,1.6,0.52,0.0001,0.0001,0.0001,0.0001,0.66,0.0001,4.44,0.15,0.52,0.0001,0.14,0.06,0.54,0.12,0.96,0.11,0.09,0.0001,0.0001,0.09,0.0001,0.0001,0.07,0.38,3.69,1.05
19,0.13,0.0001,0.0001,0.0001,0.0001,0.0001,0.92,0.67,0.0001,0.32,0.0001,0.63,0.57,1.54,0.18,0.0001,0.44,0.0001,0.0001,0.0001,0.22,0.0001,1.12,0.0001,0.0001,0.0001,0.0001,0.0001,0.21,0.24,0.21,0.72,0.0001,1.04,0.0001,0.28,0.0001,0.0001,0.0001,0.25,1.02,0.13,0.0001,0.0001,0.38,0.28,0.0001,0.0001,0.16,0.34,0.0001,1.27,0.0001,0.0001,0.0001,0.4,2.06,0.0001,0.66,0.0001,0.0001,0.0001,0.96,1.87,0.6,0.08,0.0001,0.0001,0.57,0.56,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.39,0.0001,0.0001,0.44,1.96,1.76,0.0001,0.0001,0.6,1.05,1.31,0.0001,3.31,0.22,0.0001,0.0001,0.06,0.14,0.0001,0.35,0.5,0.0001,0.14,0.2,0.0001,0.86,0.0001,0.0001,0.0001,0.0001,3.5,0.44
20,0.19,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.05,0.38,0.0001,0.36,0.0001,1.71,1.4,0.96,0.77,0.0001,0.0001,0.0001,0.0001,0.22,0.8,0.0001,0.0001,0.0001,0.13,0.0001,0.0001,0.0001,0.23,0.61,0.0001,0.25,0.42,0.35,0.2,0.11,0.11,0.4,1.49,0.0001,0.0001,0.0001,1.7,0.62,0.0001,0.0001,0.0001,0.05,0.0001,0.79,1.06,0.0001,0.0001,0.51,0.54,0.0001,1.0,0.0001,0.0001,0.04,0.4,3.21,0.45,1.45,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.3,0.0001,0.0001,0.2,0.6,2.52,0.0001,0.63,2.32,0.6,0.0001,2.25,1.44,0.15,0.0001,0.0001,0.14,0.06,0.0001,0.12,0.0001,0.11,0.0001,0.0001,0.0001,0.09,0.0001,0.31,0.07,0.0001,0.69,1.05
21,0.13,0.0001,0.0001,0.8,0.0001,0.0001,0.0001,0.0001,0.55,0.32,0.0001,0.0001,0.0001,0.54,1.18,0.3,0.44,0.0001,0.6,0.0001,0.0001,0.96,0.12,0.0001,0.0001,0.0001,1.51,0.0001,0.21,0.0001,1.21,0.72,0.43,1.04,1.99,0.0001,0.0001,1.65,0.41,1.25,3.02,1.13,0.0001,0.0001,2.38,2.28,0.0001,0.0001,0.16,0.34,0.0001,0.27,0.61,0.35,0.0001,1.4,0.06,0.0001,1.66,0.0001,0.0001,0.0001,0.0001,2.87,0.0001,2.08,0.0001,0.0001,0.57,1.56,0.0001,0.53,0.0001,0.0001,0.0001,0.36,0.0001,0.39,0.0001,0.0001,0.0001,0.0001,0.76,0.0001,0.64,1.6,0.05,0.0001,2.88,0.31,0.22,0.08,0.0001,0.06,0.14,0.0001,0.0001,0.5,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.37,0.68,0.0001,0.5,1.44
22,0.19,0.0001,0.0001,0.64,0.0001,0.5,0.0001,0.0001,2.05,0.0001,1.83,1.36,0.9,0.0001,2.4,0.96,0.0001,0.0001,0.77,0.0001,0.0001,0.22,0.0001,0.0001,0.0001,0.0001,1.13,0.0001,0.0001,0.0001,0.23,0.0001,0.88,1.25,1.42,0.35,0.2,1.11,0.0001,1.4,3.49,1.62,0.0001,1.46,0.7,4.62,0.0001,0.0001,0.81,0.05,0.0001,0.0001,0.06,0.99,0.0001,1.51,0.0001,1.22,2.0,0.0001,2.6,0.04,0.4,2.21,0.0001,0.45,0.0001,0.41,0.7,0.0001,0.0001,1.53,0.0001,0.0001,0.54,0.0001,0.0001,0.3,0.0001,0.0001,0.0001,0.0001,1.52,0.0001,1.63,0.32,0.0001,0.0001,0.25,0.44,0.15,0.52,0.0001,0.0001,0.06,0.0001,0.0001,0.0001,1.11,0.09,0.0001,0.61,0.09,0.0001,0.31,1.07,0.0001,0.0001,0.05
23,0.13,0.0001,0.0001,0.8,0.0001,0.55,0.0001,0.67,0.55,0.32,0.34,0.63,0.57,0.54,1.18,2.3,0.0001,0.0001,0.6,0.0001,0.0001,1.96,0.0001,0.0001,0.0001,0.0001,1.51,0.0001,0.21,0.24,0.21,0.0001,1.43,1.04,0.0001,0.0001,0.83,0.65,0.0001,0.25,1.02,1.13,0.0001,1.54,0.38,2.28,0.0001,0.0001,1.16,0.0001,0.0001,0.27,0.61,1.35,0.18,1.4,0.06,0.7,0.66,0.0001,1.55,0.25,0.96,0.87,0.0001,1.08,0.0001,0.3,0.57,1.56,0.0001,1.53,0.0001,0.0001,2.26,1.36,2.83,0.0001,0.0001,0.0001,0.44,0.0001,2.76,0.0001,0.64,0.0001,0.0001,0.31,0.88,0.0001,0.22,0.08,0.0001,0.0001,0.14,0.0001,0.0001,0.0001,1.85,0.14,0.2,0.0001,0.0001,0.48,0.0001,0.68,0.0001,0.0001,0.44
24,0.19,0.0001,0.0001,0.64,0.0001,0.0001,0.0001,0.95,2.05,1.38,0.0001,0.36,0.0001,0.0001,0.4,2.96,0.0001,0.0001,0.77,0.0001,0.0001,1.22,0.0001,0.0001,0.0001,0.0001,1.13,0.0001,0.0001,0.55,0.23,0.0001,0.88,1.25,0.0001,0.0001,0.2,0.11,0.11,0.4,0.49,0.0001,0.0001,1.46,0.7,0.62,0.0001,0.0001,1.81,0.05,0.0001,1.79,0.06,0.99,0.54,1.51,1.54,0.22,0.001,1.36,0.6,0.0001,0.4,0.21,0.0001,0.45,0.0001,0.41,0.0001,0.0001,0.0001,0.53,0.0001,0.0001,2.54,0.0001,1.38,0.0001,0.0001,0.0001,1.2,3.6,1.52,0.0001,0.0001,0.0001,0.0001,1.66,0.25,0.44,0.0001,0.0001,0.0001,0.0001,0.06,0.0001,0.0001,0.0001,1.11,0.09,0.6,0.61,0.0001,0.0001,0.0001,0.07,0.0001,0.0001,0.0001
25,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.67,1.55,1.32,0.0001,0.0001,0.0001,0.0001,0.0001,3.3,0.0001,0.0001,0.6,0.6,0.0001,0.96,0.12,0.0001,0.0001,1.02,0.0001,0.6,1.21,0.24,1.21,0.0001,0.43,0.04,0.0001,0.0001,0.83,0.0001,0.41,0.0001,0.02,0.13,0.0001,2.54,0.38,0.0001,0.73,0.35,1.16,0.0001,0.0001,1.27,0.61,2.35,0.18,0.4,0.0001,0.0001,0.0001,0.75,0.0001,0.25,0.0001,0.0001,0.0001,0.08,0.0001,0.3,0.0001,0.56,0.0001,0.53,0.0001,0.0001,2.26,0.0001,0.83,0.0001,0.0001,0.0001,0.44,7.96,0.76,0.0001,0.0001,0.0001,0.05,2.31,0.88,0.0001,0.22,0.08,0.0001,0.0001,0.14,0.0001,0.0001,0.0001,0.0001,0.14,0.2,0.68,0.0001,0.0001,0.0001,0.0001,0.58,0.0001,0.44
26,0.19,0.65,0.12,0.0001,0.0001,0.0001,2.84,0.95,0.05,0.38,0.83,0.36,0.0001,0.71,0.4,2.96,0.0001,0.43,0.77,0.83,0.0001,2.22,0.0001,0.0001,0.0001,0.59,0.0001,0.0001,0.65,0.0001,1.23,0.0001,0.0001,0.0001,0.0001,0.0001,0.2,0.11,0.11,0.0001,1.49,0.62,0.0001,1.46,0.7,0.0001,0.88,0.45,0.0001,0.05,0.0001,0.0001,0.0001,1.99,0.0001,0.0001,0.0001,0.22,0.001,0.36,0.0001,0.04,0.0001,0.0001,1.45,0.45,0.0001,0.0001,0.0001,0.0001,0.0001,1.53,1.82,0.0001,1.54,0.0001,3.38,0.0001,0.0001,0.0001,0.2,6.6,1.52,0.0001,1.63,0.0001,1.6,2.66,1.25,0.44,0.15,0.0001,0.0001,0.14,1.06,0.0001,0.12,0.0001,0.0001,1.09,0.0001,0.61,0.0001,0.0001,0.0001,0.07,0.38,0.0001,0.05
